"Archived - Lumber, production, shipments and stocks, monthly, inactive (x 1,000) 1 2"
"Frequency: Monthly"
"Table: 16-10-0045-01 (formerly CANSIM 303-0064)"
"Release date: 2020-05-26"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard Classification of Goods (SCG)","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018"
,"Cubic metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total softwood and hardwood, production 3","5,759.0","6,643.3","7,297.1","6,258.8","5,660.4","6,436.3","6,834.9","7,893.9","7,584.6","6,835.5","7,152.4","6,752.5","6,713.0","7,344.0","7,693.3","7,126.7","6,394.1","7,027.4","7,001.9","7,358.2","7,730.9","6,831.2","7,051.1","6,418.5","6,756.4","6,967.4","7,096.0","6,884.2","6,035.1","7,358.1","6,847.6","7,696.1","7,192.1","6,928.4","6,788.0","6,385.6","6,530.0","6,663.7","6,974.3","6,519.2","5,338.3","6,489.9","6,329.9","6,759.2","6,615.3","6,372.1","6,221.9","5,824.3","5,737.9","5,876.4","6,226.0","5,608.0","4,346.3","5,267.5","5,059.4","4,601.7","5,462.7","4,831.3","4,766.9","4,821.4","4,404.8","5,019.7","5,266.3","4,579.6","3,487.4","4,024.8","3,519.4","3,640.3","3,702.5","3,613.1","3,672.6","3,649.8","3,590.4","4,175.4","4,390.2","4,026.7","3,446.4","4,035.5","4,165.3","4,788.0","4,785.9","4,446.8","4,608.2","4,358.8","4,438.1","4,525.6","4,754.6","4,615.6","3,916.7","4,369.4","4,306.3","4,751.0","4,728.8","4,518.8","4,347.0","4,362.3","4,432.7","4,545.8","4,820.1","4,461.8","3,762.0","4,468.7r","4,661.4r","4,870.8r","4,650.8r","4,770.6r","4,729.3r","4,344.0r","4,668.6r","4,665.2r","5,165.1r","4,900.8r","3,925.5r","4,935.1r","4,896.7r","5,059.5r","5,418.6r","5,172.8r","4,943.1r","4,642.3r","4,660.4r","4,870.6r","5,340.7r","4,864.7r","4,094.2r","4,969.1r","4,665.8r","5,163.0r","5,220.1r","4,880.1r","4,940.0r","4,908.8r","4,668.7r","5,100.4r","5,343.2r","4,817.0r","4,556.2r","4,925.3r","4,993.5r","5,615.1r","5,601.1r","5,250.4r","5,522.6r","5,176.9r","5,258.5r","5,513.3r","5,666.8r","5,539.7r","5,195.4r","5,409.0r","5,496.0r","5,809.5r","5,747.9r","5,695.8r","5,629.7r","5,085.3r","5,555.1r","5,693.6r","5,668.1r","5,776.7r","4,679.2r","5,478.6r","5,281.1r","6,009.6r","5,575.8r","5,892.0r","5,566.9r","5,094.8r","5,361.6r","5,435.0r","5,728.7r","5,707.3r","4,728.7r","5,639.7r","5,147.7r","5,733.8r","5,746.4r","5,837.9r","5,429.4r","5,098.1r","5,378.4r","5,235.7r","5,615.5r","5,157.3r","4,185.5r"
"Total hardwood, production","143.9","163.5","168.8","156.7","130.2","146.5","162.0","191.3","174.5","162.7","165.9","143.5","158.0","179.7","182.7","180.9","154.2","164.3","170.5","183.8","180.7","166.3","164.6","134.4","166.5","175.1","172.8","183.3","153.5","174.3","172.9","203.2","177.2","184.0","175.8","137.6","163.4","176.1","170.0","175.1","139.2","152.2","164.4","170.2","165.5","168.9","157.0","119.9","149.9","161.7","167.8","162.1","118.6","132.3","134.0","124.4","134.2","139.2","130.4","121.9","125.6","146.8","144.4","132.6","99.9","108.7","109.6","103.9","84.8","93.9","91.1","83.9","100.0","122.5","121.2","112.3","87.1","103.5","118.6","139.9","131.0","130.9","131.1","110.7","128.5","134.0","141.7","143.9","110.2","113.4","129.1","139.1","130.0","122.1","110.4","113.4","113.6","128.9","140.8","130.3","100.0","90.2r","103.5r","106.1r","109.5r","115.5","114.8r","85.7r","91.1","111.1r","122.7r","132.9r","93.2r","112.3r","111.7r","123.4r","135.1r","121.9r","134.4r","85.8r","105.4r","121.3r","124.1r","119.8r","93.4r","105.7r","114.0r","130.4r","137.2r","119.7r","138.5r","118.9r","101.9r","138.7r","132.6r","148.8r","123.7r","124.0r","141.5r","177.4r","177.6r","158.3r","147.1r","112.1r","114.9r","153.3r","154.9r","154.0r","132.7r","139.2r","143.5r","161.1r","147.9r","148.0r","165.3r","118.1r","118.1r","111.9r","139.6r","148.2r","107.0r","111.2r","125.6r","157.6r","119.7r","147.4r","135.8r","110.6r","113.3r","139.0r","132.2r","153.4r","122.7r","114.1r","109.4r","129.1r","121.0r","135.5r","132.1r","82.8r","98.3r","124.3r","128.7r","116.6r","96.2r"
"Total softwood, production 4","5,615.1","6,479.8","7,128.2","6,102.0","5,530.2","6,289.8","6,672.9","7,702.6","7,410.1","6,672.8","6,986.4","6,609.0","6,554.9","7,164.3","7,510.7","6,945.8","6,240.0","6,863.1","6,831.4","7,174.4","7,550.1","6,664.9","6,886.5","6,284.1","6,589.9","6,792.3","6,923.1","6,700.9","5,881.6","7,183.9","6,674.7","7,493.0","7,014.9","6,744.5","6,612.2","6,248.0","6,366.6","6,487.6","6,804.3","6,344.1","5,199.1","6,337.7","6,165.5","6,589.0","6,449.8","6,203.2","6,064.9","5,704.5","5,588.0","5,714.7","6,058.2","5,445.9","4,227.8","5,135.1","4,925.4","4,477.3","5,328.4","4,692.1","4,636.5","4,699.5","4,279.2","4,872.9","5,121.9","4,447.0","3,387.5","3,916.0","3,409.8","3,536.3","3,617.7","3,519.2","3,581.6","3,565.9","3,490.4","4,052.9","4,269.0","3,914.4","3,359.3","3,932.0","4,046.7","4,648.2","4,654.9","4,315.9","4,477.1","4,248.1","4,309.7","4,391.6","4,613.0","4,471.7","3,806.5","4,256.0","4,177.2","4,611.9","4,598.8","4,396.7","4,236.7","4,248.9","4,319.1","4,417.0","4,679.2","4,331.5","3,662.0","4,378.5r","4,557.8r","4,764.7r","4,541.4r","4,655.1r","4,614.4r","4,258.3r","4,577.4r","4,554.1r","5,042.3r","4,767.9r","3,832.3r","4,822.8r","4,785.0r","4,936.1r","5,283.4r","5,050.9r","4,808.7r","4,556.5r","4,555.0r","4,749.4r","5,216.6r","4,744.9r","4,000.8r","4,863.4r","4,551.8r","5,032.7r","5,082.9r","4,760.3r","4,801.5r","4,789.9r","4,566.8r","4,961.7r","5,210.7r","4,668.2r","4,432.4r","4,801.3r","4,852.0r","5,437.6r","5,423.5r","5,092.1r","5,375.5r","5,064.9r","5,143.6r","5,360.0r","5,511.9r","5,385.7r","5,062.8r","5,269.8r","5,352.5r","5,648.4r","5,600.1r","5,547.8r","5,464.4r","4,967.3r","5,437.0r","5,581.8r","5,528.5r","5,628.6r","4,572.2r","5,367.4r","5,155.5r","5,851.9r","5,456.0r","5,744.6r","5,431.1r","4,984.2r","5,248.3r","5,296.0r","5,596.4r","5,553.9r","4,605.9r","5,525.6r","5,038.4r","5,604.7r","5,625.3r","5,702.4r","5,297.4r","5,015.3r","5,280.1r","5,111.4r","5,486.7r","5,040.7r","4,089.3r"
"Spruce, pine and fir, production","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3,945.9r","4,120.6r","4,322.8r","4,083.6r","4,143.6r","4,132.8r","3,784.2r","4,095.0r","4,082.3r","4,544.9r","4,296.3r","3,536.9r","4,380.4r","4,354.7r","4,519.5r","4,707.6r","4,522.3r","4,328.1r","4,078.5r","4,097.9r","4,217.3r","4,693.1r","4,261.4r","3,672.9r","4,378.7r","4,145.3r","4,533.4r","4,589.0r","4,177.9r","4,188.2r","4,175.8r","4,073.6r","4,470.0r","4,657.2r","4,194.1r","4,053.9r","4,374.9r","4,404.2r","4,862.5r","4,931.0r","4,576.8r","4,761.1r","4,525.7r","4,667.3r","4,907.4r","5,017.3r","4,932.9r","4,646.4r","4,813.9r","4,845.1r","4,998.5r","5,103.2r","4,937.9r","4,856.9r","4,426.7r","4,868.7r","5,019.6r","4,947.9r","5,053.6r","4,142.4r","4,942.9r","4,703.8r","5,228.1r","4,919.6r","5,215.7r","4,875.6r","4,437.5r","4,753.1r","4,814.4r","5,085.6r","4,963.2r","4,193.1r","5,014.2r","4,568.4r","5,034.3r","4,996.9r","5,021.1r","4,659.5r","4,376.5r","4,579.5r","4,437.0r","4,877.7r","4,409.4r","3,676.3r"
"Total softwood excluding spruce, pine and fir, production 5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","432.6r","437.3r","441.8r","457.8r","511.5r","481.6r","474.1r","482.5r","471.7r","497.5r","471.6r","295.4r","442.4r","430.3r","416.5r","575.8r","528.6r","480.5r","478.0r","457.0r","532.1r","523.5r","483.5r","327.9r","484.7r","406.5r","499.3r","493.9r","582.5r","613.3r","614.1r","493.2r","491.7r","553.5r","474.2r","378.5r","426.4r","447.8r","575.1r","492.5r","515.3r","614.4r","539.2r","476.4r","452.6r","494.5r","452.8r","416.4r","455.9r","507.4r","650.0r","496.8r","609.9r","607.5r","540.6r","568.3r","562.2r","580.6r","575.0r","429.9r","424.4r","451.6r","623.8r","536.5r","528.8r","555.5r","546.7r","495.2r","481.6r","510.8r","590.7r","412.8r","511.3r","470.0r","570.4r","628.4r","681.3r","637.9r","638.8r","700.5r","674.4r","609.1r","631.3r","413.1r"
"Lumber, total shipments","6,416.2","6,936.5","7,256.8","6,400.6","5,741.7","6,440.7","6,107.2","7,194.5","7,671.2","6,884.4","7,434.5","7,619.3","7,036.9","7,399.1","7,677.2","7,105.6","6,343.9","6,870.5","6,504.6","7,129.9","7,478.1","7,223.3","7,206.8","6,895.4","6,642.5","7,175.4","7,041.5","6,802.3","6,117.2","6,977.6","6,515.6","7,353.5","7,423.7","6,947.9","7,098.5","6,429.7","6,480.8","6,791.4","6,639.7","6,146.3","5,516.6","6,041.5","5,484.2","6,563.2","6,898.4","6,703.9","6,500.5","6,148.8","5,894.0","5,661.9","6,095.2","5,523.9","4,456.6","4,646.3","4,848.8","4,706.7","5,503.4","5,085.1","5,094.8","5,155.0","4,534.0","4,766.1","5,179.8","4,439.7","3,449.2","3,728.9","3,516.8","3,745.4","3,891.8","3,694.8","4,130.1","4,055.0","3,577.5","4,059.2","4,287.7","4,005.0","3,614.0","3,983.2","3,953.3","4,469.2","4,840.2","4,162.7","4,600.2","4,469.6","4,215.4","4,475.7","4,455.1","4,292.7","3,948.9","3,943.7","3,813.3","4,576.4","4,538.5","4,497.7","4,705.3","4,486.3","4,234.0","4,516.7","4,627.6","4,458.4","3,861.7","4,159.0r","4,424.5r","4,575.1r","4,531.1r","4,677.6r","4,604.3r","4,670.6r","4,545.1r","4,292.7r","5,052.6r","4,645.7r","3,787.8r","4,359.9r","4,442.3r","4,590.4r","5,072.0r","4,903.5r","4,811.1r","5,092.5r","4,600.1r","4,737.1r","4,988.7r","4,567.0r","3,872.4r","4,472.4r","4,080.6r","4,446.5r","5,005.2r","5,195.1r","5,494.6r","5,204.8r","4,878.8r","5,094.4r","5,344.2r","4,691.2r","4,624.7r","4,664.8r","4,699.2r","5,480.6r","5,431.3r","5,400.4r","5,734.6r","5,112.4r","5,156.4r","5,583.7r","5,872.3r","5,425.7r","5,173.2r","5,196.3r","5,438.0r","5,658.3r","5,503.5r","5,667.3r","5,725.3r","5,188.2r","5,519.1r","5,793.7r","5,625.2r","5,689.2r","4,764.6r","5,183.4r","5,031.4r","5,687.7r","5,648.4r","5,705.9r","5,604.5r","5,263.5r","5,424.9r","5,526.3r","5,531.7r","5,390.8r","4,629.3r","5,081.3r","4,731.5r","5,214.6r","5,615.5r","6,098.4r","5,566.1r","5,363.8r","5,748.0r","5,198.3r","5,447.4r","5,104.1r","4,176.7r"
"Total softwood and hardwood, stocks 3","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","6,243.7r","6,382.7r","6,413.7r","6,415.5r","6,391.7r","6,402.5r","5,928.1r","5,837.1r","6,043.2r","6,002.9r","5,982.8r","5,988.1r","6,428.5r","6,694.2r","6,857.7r","7,007.0r","7,054.1r","6,923.2r","6,261.0r","6,106.2r","6,053.7r","6,235.6r","6,343.6r","6,437.1r","6,848.6r","7,318.6r","7,974.3r","8,100.9r","7,686.6r","7,156.7r","6,809.7r","6,547.9r","6,484.0r","6,380.6r","6,450.2r","6,422.5r","6,723.1r","7,001.4r","7,187.8r","7,444.3r","7,319.1r","7,120.7r","7,090.8r","7,226.9r","7,189.1r","6,910.6r","7,015.6r","7,025.7r","7,216.8r","7,277.1r","7,361.9r","7,500.7r","7,476.6r","6,987.7r","6,739.6r","6,720.4r","6,712.0r","6,668.5r","6,657.1r","6,520.5r","6,804.3r","6,962.7r","7,209.1r","7,070.5r","7,176.7r","7,145.2r","6,909.4r","6,771.6r","6,744.8r","6,910.2r","7,136.7r","7,253.8r","7,765.5r","8,061.0r","8,543.5r","8,639.9r","8,379.8r","8,176.4r","7,934.4r","7,637.1r","7,635.2r","7,817.5r","7,610.3r","7,580.6r"
"Total hardwood, stocks","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","121.1r","134.5r","139.5r","137.8r","137.4r","138.9r","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","122.5r","117.0r","113.9r","126.5r","Fr","Fr","Fr","Fr","Fr","Fr","100.6r","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr","Fr"
"Total softwood, stocks 4","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","6,119.5r","6,251.6r","6,289.8r","6,276.3r","6,253.7r","6,269.7r","5,809.0r","5,715.7r","5,917.1r","5,865.0r","5,859.9r","5,877.2r","6,321.8r","6,589.6r","6,749.5r","6,887.2r","6,930.4r","6,790.9r","6,139.2r","5,981.8r","5,932.6r","6,101.1r","6,204.1r","6,299.3r","6,711.2r","7,179.7r","7,831.4r","7,952.0r","7,539.9r","7,018.3r","6,682.9r","6,435.9r","6,368.9r","6,272.0r","6,329.3r","6,299.6r","6,598.3r","6,876.8r","7,061.8r","7,303.3r","7,175.4r","6,983.1r","6,965.9r","7,109.8r","7,057.9r","6,786.8r","6,878.0r","6,872.5r","7,075.1r","7,134.6r","7,210.6r","7,354.7r","7,318.6r","6,806.8r","6,565.9r","6,545.6r","6,539.7r","6,526.7r","6,534.5r","6,403.4r","6,690.4r","6,836.2r","7,076.2r","6,941.9r","7,051.4r","7,013.8r","6,795.1r","6,663.9r","6,644.2r","6,764.5r","6,986.5r","7,080.0r","7,586.6r","7,895.9r","8,373.0r","8,458.5r","8,190.9r","7,971.0r","7,743.0r","7,431.2r","7,427.3r","7,605.0r","7,423.7r","7,395.4r"
"Spruce, pine and fir, stocks","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5,458.3r","5,604.2r","5,704.5r","5,649.7r","5,588.0r","5,681.6r","5,170.3r","5,089.4r","5,306.7r","5,246.3r","5,252.6r","5,364.3r","5,747.1r","6,015.5r","6,225.0r","6,245.4r","6,309.0r","6,201.3r","5,545.3r","5,374.2r","5,305.6r","5,438.1r","5,532.2r","5,711.8r","6,041.6r","6,526.6r","7,140.5r","7,259.8r","6,782.9r","6,254.2r","5,905.1r","5,662.1r","5,685.7r","5,561.5r","5,645.4r","5,694.1r","5,968.1r","6,231.8r","6,385.1r","6,620.9r","6,471.9r","6,231.5r","6,163.3r","6,334.4r","6,413.7r","6,140.3r","6,231.7r","6,266.9r","6,442.3r","6,438.7r","6,457.1r","6,637.6r","6,523.1r","6,062.5r","5,851.5r","5,864.9r","5,905.4r","5,839.3r","5,806.5r","5,774.6r","6,058.0r","6,184.6r","6,385.8r","6,260.9r","6,373.5r","6,287.9r","6,029.9r","5,967.2r","6,052.7r","6,150.2r","6,290.1r","6,448.6r","6,917.9r","7,198.7r","7,623.1r","7,658.9r","7,360.4r","7,163.0r","6,929.7r","6,562.3r","6,519.2r","6,736.0r","6,504.4r","6,611.8r"
"Total softwood excluding spruce, pine and fir, stocks 5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","661.2r","647.4r","585.3r","626.6r","665.6r","588.1r","638.7r","626.3r","610.4r","618.7r","607.2r","512.9r","574.7r","574.1r","524.5r","641.8r","621.4r","589.6r","593.9r","607.6r","627.0r","663.0r","671.9r","587.5r","669.6r","653.0r","690.9r","692.3r","757.0r","764.0r","777.8r","773.8r","683.2r","710.5r","683.8r","605.5r","630.2r","645.0r","676.7r","682.4r","703.5r","751.6r","802.6r","775.4r","644.1r","646.5r","646.3r","605.6r","632.7r","695.9r","753.5r","717.2r","795.5r","744.3r","714.4r","680.8r","634.4r","687.4r","728.0r","628.9r","632.4r","651.7r","690.3r","680.9r","677.9r","725.9r","765.2r","696.6r","591.5r","614.3r","696.5r","631.4r","668.7r","697.2r","749.9r","799.5r","830.5r","808.0r","813.3r","868.9r","908.1r","869.0r","919.3r","783.6r"

Symbol legend:
.., not available for a specific reference period
r, revised
F, too unreliable to be published




Footnotes:
1,"All values in this table are rounded to thousand of cubic meters. Therefore, 0.0 quantities do not necessarily mean that there is no economic activity taking place."
2,"This table has been archived and replaced by table 16-10-0017.
"
3,"This combines Standard Classification of Goods (SCG) codes 4407.10 and 4407.90"
4,"Total softwood includes: spruce, pine, fir, douglas fir, western larch, western hemlock, amabilis fir, sitka spruce, western red cedar, yellow cedar and all other softwood not elsewhere specified."
5,"This combines Standard Classification of Goods (SCG) codes 4407.10 excluding code 4407.10.31"



"How to cite: Statistics Canada. Table 16-10-0045-01  Lumber, production, shipments and stocks, monthly, inactive (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610004501